t,x,Dimer inception,pyrene,TransitionRegimeCoagulation
0,0.25,3.00091e+18,0,0
0,0.75,3.00091e+18,0,0
0,1.3825,3.00091e+18,0,0
0.01,0.25,3.00091e+18,1.22198e+18,8.48789e+17
0.01,0.75,3.00091e+18,1.44855e+18,1.18625e+18
0.01,1.3825,3.00091e+18,1.37317e+18,1.06707e+18
0.02,0.25,3.00091e+18,2.23242e+18,2.43909e+18
0.02,0.75,3.00091e+18,2.28058e+18,2.51726e+18
0.02,1.3825,3.00091e+18,2.14926e+18,2.21922e+18
0.1,0.25,3.00091e+18,4.31109e+18,4.37028e+18
0.1,0.75,3.00091e+18,4.34799e+18,4.46991e+18
0.1,1.3825,3.00091e+18,4.39817e+18,4.61158e+18
